ID,Timestamp,User_ID,Action_Type,Is_Sybil,IP_Address
1,2021-07-29 23:22:12,user_4742,share,0,95.1.99.112
2,2020-12-31 15:20:01,user_2011,login,0,87.7.4.190
3,2023-12-18 15:15:32,user_8655,like,0,41.65.213.161
4,2023-08-18 11:00:23,user_5248,comment,0,181.216.177.212
5,2022-10-07 12:20:47,user_4625,like,0,41.132.53.103
6,2021-06-03 13:15:30,user_2319,transaction,0,202.166.72.145
7,2024-08-11 01:19:15,user_7552,share,0,142.23.191.99
8,2021-08-18 08:13:37,user_7157,transaction,0,87.208.159.175
9,2024-08-02 13:49:32,user_8916,share,0,142.2.189.109
10,2020-08-24 06:25:13,user_7034,share,0,97.165.101.30
11,2021-08-15 22:48:00,sybil_32,share,1,198.241.252.67
12,2024-12-02 20:47:18,sybil_113,transaction,1,29.133.95.137
13,2023-03-10 13:26:26,user_7098,share,0,12.21.215.63
14,2021-10-15 00:20:50,user_6426,login,0,91.205.19.17
15,2023-01-31 20:27:03,user_1571,transaction,0,134.252.240.164
16,2023-08-03 01:09:10,user_1298,share,0,85.65.236.215
17,2022-10-21 19:27:13,sybil_221,share,1,29.83.200.117
18,2023-03-06 13:14:40,user_6760,share,0,222.101.251.128
19,2020-02-10 10:17:33,user_3557,transaction,0,118.176.142.159
20,2023-07-21 22:45:05,user_142,comment,0,147.155.219.77
21,2022-03-07 05:00:22,user_4180,like,0,130.142.151.133
22,2023-04-07 10:07:27,user_947,like,0,10.46.240.212
23,2020-05-15 10:21:45,user_85,share,0,59.97.210.249
24,2022-09-12 14:09:31,sybil_341,share,1,166.109.192.89
25,2021-10-24 21:22:09,user_4889,transaction,0,196.104.111.128
26,2023-07-24 05:59:22,user_1259,like,0,143.186.162.148
27,2023-07-03 17:21:49,sybil_196,login,1,143.167.143.83
28,2024-10-30 03:01:57,user_1848,like,0,8.33.24.12
29,2021-04-01 14:33:52,user_953,login,0,1.154.47.17
30,2020-01-14 04:44:18,user_8136,transaction,0,8.185.161.113
31,2024-04-26 20:51:36,user_3605,share,0,114.209.44.4
32,2021-04-18 16:52:19,user_1517,share,0,140.254.128.110
33,2023-01-01 21:55:55,user_3465,like,0,101.28.171.31
34,2024-10-12 13:42:02,user_7581,transaction,0,92.229.31.223
35,2023-05-11 10:14:20,sybil_111,transaction,1,29.83.200.117
36,2024-01-03 13:37:09,user_5113,comment,0,79.171.157.194
37,2021-12-23 05:22:16,user_7045,transaction,0,10.217.184.6
38,2025-01-02 11:24:38,user_9167,comment,0,92.132.158.27
39,2021-12-17 02:46:31,user_5533,comment,0,94.103.156.96
40,2021-06-30 20:40:12,sybil_77,login,1,84.185.154.179
41,2022-09-18 21:26:49,user_1807,transaction,0,6.48.239.207
42,2023-07-01 13:56:21,user_8336,like,0,148.118.164.53
43,2023-03-14 00:26:30,user_2720,share,0,52.123.139.230
44,2024-05-28 13:42:29,user_8024,login,0,75.220.136.75
45,2022-05-14 02:43:38,user_1003,comment,0,223.40.176.43
46,2022-09-30 19:56:51,user_8595,like,0,118.176.142.159
47,2024-03-01 19:19:39,user_6506,login,0,3.194.66.212
48,2021-11-21 04:37:00,user_8621,login,0,109.158.246.189
49,2024-09-22 05:35:49,user_1389,share,0,9.57.7.77
50,2021-05-12 03:37:31,user_6744,transaction,0,12.213.55.218
51,2021-06-07 14:36:47,user_4591,login,0,195.93.123.109
52,2020-05-21 18:47:53,user_5173,login,0,83.57.108.199
53,2024-12-21 04:44:34,user_3206,comment,0,205.239.98.102
54,2022-12-13 18:56:13,sybil_267,transaction,1,29.83.200.117
55,2021-06-21 02:55:02,user_7006,login,0,137.219.134.228
56,2022-12-18 11:56:59,user_8185,login,0,73.102.42.86
57,2021-05-01 11:45:59,user_7516,comment,0,97.155.162.121
58,2022-05-14 14:49:26,user_3998,share,0,173.8.125.75
59,2022-02-05 21:37:47,user_7503,login,0,149.62.192.69
60,2021-05-14 17:42:22,sybil_337,comment,1,29.83.200.117
61,2022-08-16 12:38:17,user_636,comment,0,8.185.161.113
62,2023-07-05 08:13:11,user_8033,like,0,44.19.144.221
63,2020-09-20 07:58:50,user_7438,like,0,92.44.238.196
64,2021-11-04 20:34:38,user_406,transaction,0,131.244.63.81
65,2021-04-24 04:33:26,user_5853,transaction,0,139.194.13.16
66,2024-08-21 21:18:32,user_4623,login,0,42.158.52.9
67,2020-09-20 19:11:14,sybil_242,comment,1,79.10.112.125
68,2021-03-21 04:47:18,user_1638,transaction,0,21.47.58.234
69,2021-08-07 00:07:11,user_843,like,0,82.120.0.201
70,2022-04-29 21:39:08,user_1714,login,0,94.194.130.62
71,2021-07-17 05:36:47,user_839,share,0,36.103.10.161
72,2023-12-01 12:19:07,sybil_121,share,1,217.145.112.219
73,2024-07-14 09:59:47,user_213,like,0,10.46.240.212
74,2021-10-13 04:07:34,user_4091,login,0,162.24.90.71
75,2024-09-28 07:35:19,user_402,login,0,79.171.157.194
76,2021-10-01 16:54:40,sybil_326,login,1,27.14.234.214
77,2022-02-27 22:52:25,user_4453,comment,0,222.101.251.128
78,2020-08-23 08:07:53,user_5175,share,0,19.220.87.142
79,2020-12-11 07:36:08,user_8810,share,0,51.142.188.78
80,2021-04-12 08:33:06,user_8744,like,0,144.47.119.227
81,2023-08-07 14:28:42,user_8103,transaction,0,138.140.23.155
82,2022-07-10 21:19:54,user_2458,comment,0,103.97.16.131
83,2020-02-27 12:04:14,user_3587,share,0,7.209.106.78
84,2020-12-21 04:57:55,user_4525,like,0,208.72.149.78
85,2024-08-26 08:47:43,user_2996,transaction,0,19.220.87.142
86,2023-05-14 23:31:46,user_9039,share,0,10.246.122.22
87,2021-04-18 01:58:37,sybil_35,login,1,196.104.75.169
88,2023-06-03 21:26:59,sybil_262,transaction,1,28.149.165.156
89,2023-06-19 09:10:18,user_9081,comment,0,98.191.159.115
90,2022-12-09 05:42:18,user_2451,comment,0,208.70.67.32
91,2020-05-07 13:25:49,user_3250,share,0,122.178.57.219
92,2022-02-12 17:51:30,user_8950,like,0,27.209.195.123
93,2022-04-15 00:17:23,sybil_156,comment,1,29.83.200.117
94,2024-09-03 13:08:57,user_2002,login,0,159.153.110.199
95,2021-11-12 03:44:59,sybil_70,share,1,115.250.79.72
96,2024-07-03 12:00:57,user_977,transaction,0,141.255.205.172
97,2024-08-31 07:47:06,user_9289,like,0,99.203.33.5
98,2023-12-30 10:34:41,user_4973,comment,0,156.71.230.159
99,2020-03-12 09:29:58,user_170,share,0,91.205.19.17
100,2021-04-18 11:23:37,user_1863,like,0,66.191.132.84
101,2024-01-07 18:25:47,user_361,share,0,3.194.66.212
102,2025-01-15 09:43:08,user_6645,comment,0,146.195.51.149
103,2021-09-09 18:15:28,user_6553,login,0,19.220.87.142
104,2022-06-11 16:57:27,user_3131,transaction,0,142.100.68.188
105,2024-06-06 06:07:42,sybil_117,comment,1,176.82.75.23
106,2022-05-05 07:50:42,user_9146,comment,0,34.8.162.230
107,2020-10-16 17:48:42,user_6106,comment,0,197.38.76.195
108,2023-12-30 23:31:12,user_6637,like,0,6.48.239.207
109,2021-02-17 02:56:49,user_4547,share,0,36.80.198.77
110,2023-06-23 08:47:21,sybil_385,login,1,29.133.95.137
111,2021-05-08 00:20:07,user_3799,like,0,8.118.42.74
112,2022-07-02 07:34:13,sybil_362,like,1,27.46.162.137
113,2024-05-14 20:19:10,user_3374,transaction,0,18.152.188.42
114,2020-05-29 11:23:28,user_8635,share,0,49.190.81.37
115,2020-12-17 19:28:48,user_5920,like,0,33.156.116.138
116,2021-01-06 10:20:43,user_7891,transaction,0,71.80.39.95
117,2022-03-30 06:54:32,user_7119,share,0,130.243.230.158
118,2020-06-10 06:06:32,user_3944,like,0,16.253.182.186
119,2022-07-24 23:02:35,user_6506,login,0,8.117.139.232
120,2023-03-10 02:55:54,user_4784,transaction,0,194.122.159.110
